#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,0000,10000,Impost sobre la renda de les persones físiques,1356000,0,,1302698.6
,,0000,11300,Impost sobre bens immobles,19995000,0,,20338957.87
,,0000,11500,Impost vehicles tracció mecànica,4400000,0,,4099393.54
,,0000,11600,Impost sobre l'increment valor terrenys naturalesa urbana,3840000,0,,5040390.82
,,0000,13000,Impost activitats econòmiques empresarials,2080000,0,,2094605.67
,,0000,21000,Impost sobre el valor afegit,2000000,0,,2346199.19
,,0000,22000,Impost especial sobre l'alcohol i begudes derivades,30000,0,,25587.17
,,0000,22001,Impost especial sobre la cervesa,10000,0,,9381.63
,,0000,22003,Impost especial sobre el tabac,191000,0,,211801.32
,,0000,22004,Impost especial sobre hidrocarburs,325000,0,,381500.32
,,0000,22006,Impost especial sobre productes intermitjos,690,0,,892.97
,,0000,29000,"Impost construccions, instal·lacions i obres",180000,0,,373867.67
,,0000,32501,Expedició de documents,50000,0,,61256.23
,,0000,33001,Taxa d'estacionament de vehicles de mobilitat reduïda,7000,0,,7902.14
,,0000,33101,Guals i reserves estacionament,581028.18,0,,603193.8
,,0000,33205,"Companyies aigua, llum, gas, tel.",1100000,0,,1059100.1
,,0000,33501,Taules i cadires,174530,0,,191408.55
,,0000,33903,Ocupació de la via pública,412080,0,,357065.55
,,0000,33904,Taxa d'expositors annexos a establiments i aparells recreati,0,0,,1794.32
,,0000,38901,Reintegrament pressupostos tancats,0,0,,238005.58
,,0000,38902,REINTEGRAMENTS SUBVENCIONS,0,0,,1947.78
,,0000,39190,Multes dels serveis,80000,0,,176880.93
,,0000,39903,IMPREVISTOS,0,0,,254182.17
,,0000,39915,Execució de garanties,0,0,,13558.89
,,0000,39922,Premi cobrança recàrrec provincial IAE,4400,0,,7188.58
,,0000,39924,Indemnitzacions patrimonials-compres i gestió patrimonial,50000,0,,1045.74
,,0000,42010,Fons complementari de finançament,40850000,0,,42205764.75
,,0000,42020,Compensació IAE,1595000,0,,1658532.49
,,0000,45000,Generalitat-Fons de cooperació local de Catalunya,483000,0,,1249606.07
,,0000,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,,0
,,0000,49100,Mº Economia y Hacienda EDUSI,0,0,,0
,,0000,52001,Rendiments bancaris moneda local,0,0,,10.18
,,0000,55002,Concessions Administratives,0,0,,22588.13
,,0000,59901,Altres ingressos patrimonials,0,24400,,24400
,,0000,87000,Per a despeses generals,0,12970789.73,,0
,,0000,87010,Per a despeses amb finançament afectat,0,4166767.42,,0
,,0000,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,71397,,0
,,0000,91303,Préstecs entitat financera Caixa Est. Catalunya,0,7654.53,,0
,,1000,45000,Generalitat de Catalunya. Llei de Barris,0,40624.55,,0
,,1000,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,374984.71,,220370.11
,,1000,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,,16167.85
,,1000,46400,Subvencions Àrea Metropolitana de Barcelona,0,0,,0
,,1000,49100,Mº Economia y Hacienda URBAN,0,18625.59,,0
,,1000,75002,Trans.Cap en compliment de convserv.soc.i polít. de igualtat,0,0,,277100.02
,,1000,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,0,,982293.21
,,1000,79100,Transf.de l'exterior Fons FEDER,0,16014.47,,0
,,1300,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,,150000
,,1300,45050,Generalitat de Catalunya. Convenis ocupació i desenv local,0,415928.39,,-43334.35
,,1300,46400,Subvencions Àrea Metropolitana de Barcelona,0,0,,0
,,1300,46500,Consell comarcal del Barcelonès,0,0,,16537.06
,,1300,48000,Fundació INFORM. Programa SEFED,0,0,,48301.78
,,1500,46139,Diputació Barcelona.PAM 2016-2017,0,4445,,0
,,1600,46121,"Diputació Barcelona. Cooperació, solidaritat",0,0,,10000
,,1600,46199,Diputació Barcelona. Subvencions,0,28000,,26000
,,2000,39901,Despeses de publicitat: anuncis licitació-direcció economia,3000,0,,10007.67
,,2000,42010,"Participació municiapl en tributs de l'Estat (Man.6,25% PTE)",2954000,146596.68,,3100596.68
,,2000,45000,Generalitat-Fons per al Foment del Turisme,6000,0,,0
,,2000,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,,0
,,2000,45030,Trans ctes cumpl conv els seus amb C.A en mat d'edució,0,42144.5,,42144.5
,,2000,45050,Generalitat de Catalunya. Convenis ocupació i desenv local,0,5277769.44,,2220111.89
,,2000,45060,Altres trans.ctes.en compli.de conv.subscrit amb C.Autonoma,0,0,,0
,,2000,46114,Diputació de Barcelona Activitats educatives complementàries,0,30338,,30713
,,2000,46124,Diputació.Recull d'activitats suport activitat empresarial,0,6714,,6210
,,2000,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,,0
,,2000,46199,Diputació Barcelona. Subvencions,0,1189999.8,,917927.34
,,2000,46400,Subvencions Àrea Metropolitana de Barcelona,0,1306637.67,,697521
,,2000,48000,Fundació INFORM. Programa SEFED,0,276744.96,,0
,,2000,49000,DEL FONS SOCIAL EUROPEU.,0,194769.93,,0
,,2000,49100,Subvencions de l'exterior. Fons FEDER,0,11250,,0
,,2000,76100,Diputació de Barcelona. Subvencions de capital,0,12000,,12000
,,2000,76149,Diputació de Barcelona Pla Xarxa de Governs Locals,0,500000,,0
,,2000,79100,Subvencions de l'exterior. Fons FEDER EDUSI,0,5096609.53,,0
,,2100,45000,Participació en tributs de la comunitat autònoma,0,0,,9986.88
,,2200,39190,"Altres multes i sancions-Comerç,Consum i Fires",16000,0,,4604
,,2200,46129,Diputació Barcelona. Activitats en matèria de consum,1400,0,,0
,,2200,46136,Diputació de Barcelona. Dinamitzaió Centre Comercial Urbà,0,0,,4500
,,2200,46199,Diputació Barcelona. Subvencions,0,87500.28,,28125
,,2200,46400,Subvencions Àrea Metropolitana de Barcelona,0,10417,,0
,,2200,49700,Altres transferències de la Unió Europea,0,0,,19691.5
,,2400,39903,Recuperació Seguretat Social,0,286329.66,,380101.4
,,2400,51801,Interessos bestretes del personal,5000,0,,7398.63
,,2400,83000,Reintegrament crèdits al personal,180000,0,,148496.31
,,2600,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,,0
,,2600,45050,Generalitat de Catalunya. Convenis ocupació i desenv local,0,0,,72190.75
,,2600,76100,Diputació de Barcelona. Subvencions de capital,0,100000,,100000
,,2700,42190,Subvenció Cens Electoral - Institut Nacional d'Estadística,0,0,,1188.03
,,2900,39902,"Gestió recapt.lloguer pisos Pons i Pons, Sanatori i Sardana",2000,0,,1776.73
,,2900,39915,Execució de fiances,0,0,,0
,,2900,45002,Tran Ctes en compliment conv. subcrits amb la CCAA,0,2400,,2400
,,2900,51803,Interessos préstecs pisos  Avda. Sanatori,0,0,,3213.41
,,2900,54100,Lloguers,100000,0,,117204.56
,,2900,54102,Lloguer pisos Av. Sanatori,29000,0,,23584.5
,,2900,54103,Lloguer pisos cr. Pons i Pons - Sardana,9200,0,,10176.45
,,2900,55002,CONCESSIONS ADMINISTRATIVES,0,0,,744.02
,,2900,76100,Diputació de Barcelona. Subvencions de capital,0,40000,,40000
,,2900,83101,Reintegrament de préstecs de fora del sector públic a/lt,0,0,,6705.43
,,3100,32600,Arrossegament de vehicles,750000,0,,573953.74
,,3100,32907,Circulacions especials,4120.8,0,,1116.79
,,3100,36000,Venda d'efectes inútils,10000,0,,35806
,,3100,39120,Multes de trànsit,865000,245824.03,,4391925.27
,,3100,39190,Altres multes i sancions-seguretat ciutadana,19400,0,,0
,,3100,76100,Diputació de Barcelona. Subvencions de capital,0,0,,0
,,5000,39901,Despeses publicitat: anuncis licitació-direcció serv.persone,2000,0,,0
,,5000,39911,Altres ingressos Consorci de Normalització lingüística,0,0,,26728
,,5022,45060,Generalitat. Fitxa 9. transport adaptat,66762.55,0,,66762.55
,,5022,46400,AMB- Transport adaptat,241100,16300,,447050
,,5023,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,,0
,,5024,34100,Ingressos serveis de teleassistència,75000,0,,112801.65
,,5024,45002,Generalitat-Fitxa 1 SAD social i dependència,1164442.15,0,,1237737.7
,,5024,46132,Diputació BCN. Servei atenció domiciliària,320000,28279.81,,320732.54
,,5030,46108,Diputació BCN. Conveni Salut Pública,15000,8967.36,,24340.73
,,5030,76126,DIBA. Salut Pública,0,7500,,0
,,5031,34101,SERVEIS ASSISTENCIALS.,0,0,,2790
,,5032,46129,Diputació Barcelona. Activitats en matèria de consum,0,33219,,33473
,,5033,32910,Autorització sanitària municipal,2575.5,0,,110
,,5033,39190,Altres multes i sancions-programa protecció salut,10000,0,,12803
,,5033,46108,Diputació BCN. Conveni Salut Pública,15000,25166,,41061.32
,,5112,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,15000,,43700
,,5112,46101,Diputació BCN. Polítiques d'igualtat,15000,0,,12968.23
,,5112,46106,Diputació BCN. Polítiques d'igualtat,9000,0,,7780.94
,,5140,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,0,,0
,,5200,34400,Utilització equipmanets culturals,1020,0,,2957
,,5209,45060,Generalitat. Fitxa 21. Programa drogodependències,98977.4,0,,98977.4
,,5209,46145,Diputació BCN.Prev.Dorgodependències.Prev.medi obert,20000,0,,35736.08
,,5210,33902,Festa major d'estiu ocupació via pública,24724.8,0,,32800
,,5210,46115,Diputació de Barcelona. Difusió artística,0,0,,14500
,,5210,46199,Diputació Barcelona. Subvencions,0,13949,,7423.5
,,5310,39701,Aprofitament urbanístic,0,1182524.74,,0
,,5410,39915,Execució de fiances,0,0,,0
,,5411,34403,Utilització Teatre Josep Maria Segarra,47500,0,,27730.55
,,5411,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,23500,,40800
,,5411,46107,Diputació BCN. Festivals artístics i programació cultural,23500,0,,10000
,,5411,46186,"Diputació de Barcelona.Teatre, Música i Dansa",0,8000,,0
,,5412,34401,Utilització auditori Can Roig i Torres,5151,0,,7161.6
,,5413,46115,Diputació de Barcelona. Difusió artística,0,0,,1750
,,5413,46199,Diputació Barcelona. Subvencions,0,1699,,0
,,5414,34414,Ingressos museu Torre Balldovina,100,0,,17
,,5414,45032,Generalitat de Catalunya. Memòria història,0,4840,,0
,,5414,45080,"Generalitat.Aportació despese s""""El Puig Castellar""""",3218.21,0,,1036.37
,,5414,46144,Diputació BCN. Difusió Patrimoni. Museu,5500,3200,,9400
,,5414,46199,Diputació Barcelona. Subvencions,0,2000,,0
,,5415,45049,Generalitat de Catalunya. llibres biblioteques,0,26000,,0
,,5415,46115,Diputació de Barcelona. Difusió artística,0,0,,1750
,,5415,46199,Diputació Barcelona. Subvencions,0,1699,,0
,,5417,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,,645
,,5417,45060,Generalitat Fitxa 34 Activitats i projectes adreçats a joves,12900,0,,0
,,5417,46111,Diputació BCN. Punts informació juvenil,3500,0,,3025.92
,,5417,46112,Diputació BCN.Àrea cultura.Conveni juventut,17600,0,,15216.04
,,5418,46500,Consell comarcal del Barcelonès,0,0,,9582.66
,,5500,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,112641,,76133.95
,,5500,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,,27348.55
,,5500,46100,Subvencions Diputació de Barcelona,0,0,,18000
,,5500,46146,Diputació BCN. Infància i família. Intervenció medi obert,22000,0,,44000
,,5500,46147,Diputació BCN.Àrea Benestar Social.Conveni atenció primària,100000,129794.96,,193897.48
,,5500,46199,Diputació Barcelona. Subvencions,0,9568,,9374
,,5500,46400,Subvencions Àrea Metropolitana de Barcelona,0,0,,0
,,5501,45002,Generalitat. Fitxa 1. Equips bàsics,910354.9,0,,910354.9
,,5502,45002,Generalitat.Fitxa 2. Intervenció Socioeducativa,365631,0,,373391.6
,,5503,45002,Generalitat.Fitxa 1. Ajuts socials,80141,0,,76133.95
,,5506,45002,Generalitat.Fitxa 6. Sistemes de resposta violència gènere,9600,0,,480
,,5509,45002,Generalitat. Fitxa 19. EAIA,462988,0,,464840.5
,,5514,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,,0
