#Área,Política,Grupo,Programa,Subprograma,Descripción
#
# Áreas de gasto y Políticas, definidas en la Orden HAP/419/2014 y comunes a todas las EELL.
# Ver http://www.boe.es/diario_boe/txt.php?id=BOE-A-2014-2922
0,,,,,Deuda pública
0,1,,,,Deuda pública
1,,,,,Servicios públicos básicos
1,3,,,,Seguridad y movilidad ciudadana
1,5,,,,Vivienda y urbanismo
1,6,,,,Bienestar comunitario
1,7,,,,Medio ambiente
2,,,,,Actuaciones de protección y promoción social
2,1,,,,Pensiones
2,2,,,,Otras prestaciones económicas a favor de empleados
2,3,,,,Servicios sociales y promoción social
2,4,,,,Fomento del empleo
3,,,,,Produccion de bienes públicos de caracter preferente
3,1,,,,Sanidad
3,2,,,,Educación
3,3,,,,Cultura
3,4,,,,Deporte
4,,,,,Actuaciones de caracter económico
4,1,,,,Agricultura ganadería y pesca
4,2,,,,Industria y energía
4,3,,,,"Comercio, turismo y pequeñas y medianas empresas"
4,4,,,,Transporte público
4,5,,,,Infraestructuras
4,6,,,,"Investigación, desarrollo e innovación"
4,9,,,,Otras actuaciones de caracter económico
9,,,,,Actuaciones de caracter general
9,1,,,,Órganos de gobierno
9,2,,,,Servicios de carácter general
9,3,,,,Administración financiera y tributaria
9,4,,,,Transferencias a otras administraciónes públicas
#
# Programas específicos de Santa Coloma de Gramenet
#
0,1,1,,,Deuda pública
0,1,1,0,,Deuda pública
0,1,1,0,01,Deuda pública
1,3,0,,,Administración general de la seguridad y protección civil
1,3,0,0,,Administración general de la seguridad y protección civil
1,3,0,0,00,Administración general de la seguridad y protección civil
1,3,2,,,Seguridad y orden público
1,3,2,0,,Seguridad y orden público
1,3,2,0,00,Seguridad y orden público
1,3,3,,,Ordenación del tráfico y del estacionamiento
1,3,3,0,,Ordenación del tráfico y del estacionamiento
1,3,3,0,00,Ordenación de tráfico y del estacionamiento
1,3,3,0,01,Arrastre de vehículos
1,3,4,,,Movilidad urbana
1,3,4,0,,Movilidad urbana
1,3,4,0,00,Movilidad urbana
1,3,5,,,Protección civil
1,3,5,0,,Protección civil
1,3,5,0,00,Protección civil
1,3,6,,,Servicio de prevención y extinción de incendios
1,3,6,0,,Servicio de prevención y extinción de incendios
1,3,6,0,00,Servicio de prevención y extinción de incendios
1,5,0,,,Administración general de vivienda y urbanismo
1,5,0,0,,Administración general de vivienda y urbanismo
1,5,0,0,00,Administración general de vivienda y urbanismo
1,5,0,0,01,Personal recursos y prestaciones area de urbanismo
1,5,0,0,02,Acción territorial
1,5,0,0,03,Obras publicas
1,5,1,,,Urbanismo
1,5,1,0,,"Urbanismo. Planeamiento, gestión, ejecución y disciplina urbanística"
1,5,1,0,00,Urbanismo
1,5,1,1,,Urbanismo: Disciplina urbanística
1,5,1,0,10,Urbanismo: Disciplina urbanística
1,5,1,2,,Urbanismo: Gestión urbanística
1,5,1,0,20,Urbanismo: Gestión urbanística
1,5,2,,,Vivienda
1,5,2,0,,Vivienda
1,5,2,1,,Promoción y gestión de vivienda de protección pública
1,5,2,0,10,Promoción y gestión de vivienda de protección pública
1,5,2,2,,Conservación y rehabilitación de la edificación
1,5,2,0,20,Rehabilitación viviendas
1,5,3,,,Vías públicas
1,5,3,0,,Mantenimiento vía publica
1,5,3,0,00,Mantenimiento vía publica
1,5,3,1,,Acceso a los núcleos de población
1,5,3,0,10,Acceso a los núcleos de población
1,5,3,2,,Pavimentación de vías públicas
1,5,3,0,20,Pavimentación de vías públicas
1,5,3,3,,Mantenimiento escaleras mecánicas
1,5,3,0,30,Mantenimiento escaleras mecánicas
1,6,0,,,Alcantarillado
1,6,0,0,,Alcantarillado
1,6,0,0,00,Alcantarillado
1,6,1,,,Abastecimiento domiciliario de agua
1,6,1,0,,Abastecimiento domiciliario de agua
1,6,2,,,"Recogida, gestión y tratamiento de residuos"
1,6,2,0,,"Recogida, gestión y tratamiento de residuos"
1,6,2,1,,Recogida de residuos
1,6,2,0,11,Recogida de residuos voluminosos
1,6,2,0,12,Recogida de residuos selectiva
1,6,2,2,,Gestión de residuos sólidos urbanos
1,6,2,0,21,Puntos limpios y puntos verdes
1,6,2,3,,Tratamiento de residuos
1,6,3,,,Limpieza viaria
1,6,3,0,,Limpieza viaria
1,6,3,0,00,Limpieza viaria
1,6,3,0,01,Limpieza viaria vertical
1,6,3,0,02,Limpieza de accesos mecánicos
1,6,4,,,Cementerio y servicios funerarios
1,6,4,0,,Cementerio y servicios funerarios
1,6,5,,,Alumbrado público
1,6,5,0,,Alumbrado público
1,6,5,0,00,Alumbrado público
1,6,5,0,01,Alumbrado público. Semáforos
1,6,5,0,02,Alumbrado público. Escaleras mecánicas
1,7,0,,,Administración general del medio ambiente
1,7,0,0,,Administración general del medio ambiente
1,7,0,0,00,Administración general del medio ambiente
1,7,1,,,Parques y jardines
1,7,1,0,,Parques y jardines
1,7,1,0,00,Parques y jardines
1,7,2,,,Protección y mejora del medio ambiente
1,7,2,0,,Protección y mejora del medio ambiente
1,7,2,0,00,Protección y mejora del medio ambiente
1,7,2,1,,"Protección contra la contaminación acústica, lumínica y atmosférica"
1,7,2,0,10,"Protección contra la contaminación acústica, lumínica y atmosférica"
1,7,2,2,,Educación y sensibilización ambiental
1,7,2,0,20,Educación y sensibilización ambiental
1,7,2,3,,Medio natural
1,7,2,0,30,Medio natural
1,7,9,,,Otras actuaciones relacionadas con el medio ambiente
1,7,9,0,,Otras actuaciones relacionadas con el medio ambiente
2,1,1,,,Pensiones
2,1,1,0,,Pensiones
2,2,1,,,Otras prestaciones económicas a favor de empleados
2,2,1,0,,Otras prestaciones económicas a favor de empleados
2,3,0,,,Servicios sociales y promoción social
2,3,0,0,,Servicios sociales y promoción social
2,3,0,0,00,Servicios sociales y promoción social
