#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,0000,39300,"Interessos de demora,",0,0,0,0
,,0000,39915,"EXECUCIÓ DE FIANCES,",0,0,0,1332.13
,,0000,39917,INTERESSOS RECÀRREC EXTEMPORANI,0,0,0,8714.65
,,0000,39918,COMPENSACIO GESTIO I RECAPTACIO TRIBUT MOBILITAT,0,0,0,299020.8
,,0000,42001,Compensació IAE participació tributs de l'estat,0,0,0,1395855.12
,,0000,45045,Fons supramunicipal de la Generalitat de Catalunya,0,47386.56,47386.56,47386.56
,,0000,10000,Impost sobre la renda de les persones físiques,1373500,0,1373500,1373497.32
,,0000,11300,Impost sobre bens Immobles,15399972.84,0,15399972.84,16810297.31
,,0000,11500,Impost Vehicles Tracció Mecànica,5094266.32,0,5094266.32,4717232.83
,,0000,11600,Impost Increment Valor Terrenys Naturalesa Urbana,1259484,0,1259484,2003339.22
,,0000,13000,Impost Activitats Econòmiques Empresarials,2115286.58,0,2115286.58,1970578.94
,,0000,21000,Impost sobre el valor afegit,1582600,0,1582600,1579049.88
,,0000,22000,Impost especial sobre l'alcohol i begudes derivades,31660,0,31660,31597.8
,,0000,22001,Impost especial sobre la cervesa,9760,0,9760,9740.28
,,0000,22003,Impost especial sobre el tabac,205060,0,205060,205056.72
,,0000,22004,Impost especial sobre hidrocarburs,332440,0,332440,331751.76
,,0000,22006,Impost especial sobre productes intermitjos,700,0,700,696.48
,,0000,29000,"Impost Construccions, instal·lacions i obres",509500,0,509500,343972.4
,,0000,32501,"Expedicio de documents,",21625.22,0,21625.22,75319.92
,,0000,33101,Guals i reserves estacionament,528992.45,0,528992.45,549297.73
,,0000,33205,"Companyies aigua, llum, gas",835580,0,835580,1534667.43
,,0000,33501,Taules i cadires,80402.53,0,80402.53,140326.17
,,0000,33903,Ocupacio de la via publica,422010.98,0,422010.98,438774.55
,,0000,38901,"REINTEGRAMENTS PRESSUPOSTOS TANCATS (DESPESA CORRENT),",0,0,0,38364.42
,,0000,39120,MULTES PER INFRACCIONS DE L'ORDENANÇA DE CIRCULACIÓ.,0,0,0,0
,,0000,39121,Multes de trànsit: Fora de ciutat,0,0,0,0
,,0000,39190,Multes dels Serveis,5095,0,5095,85473.84
,,0000,39200,RECÀRREC PER DECLARACIÓ EXTEMPORÁNEA SENSE REQUERIMI. PREVI,0,0,0,36490.08
,,0000,39900,RECUPERACIÓ DIFERENCIA SEGURETAT SOCIAL,0,0,0,1694.4
,,0000,39903,"IMPREVISTOS,",0,0,0,29363.43
,,0000,39909,RECAPTACIÓ TELÈFONS PÚBLICS,0,0,0,736
,,0000,39922,PREMI COBRANÇA RECÀRREC PROVINCIAL IAE,0,0,0,0
,,0000,42000,PARTICIPACIÓ EN ELS TRIBUTS DE L'ESTAT.,0,0,0,0
,,0000,42010,Fons complementari de finançament,35150440,0,35150440,34234533.36
,,0000,42011,MERMA RECAPTACIÓ DE L'IAE,0,0,0,0
,,0000,42091,Fondo Estatal para el Empleo y la Sostenibilidad Local,0,0,0,90394.73
,,0000,45003,DEPART. BENESTAR I FAMÍLIA GENERALITAT. PROGRAMA EAIA,0,0,0,0
,,0000,45004,Fons municipal de la Generalitat,758936.24,0,758936.24,658957.78
,,0000,55002,"CONCESSIONS ADMINISTRATIVES,",0,0,0,0
,,0000,59001,ALTRES INGRESSOS PATRIMONIALS,0,0,0,1125
,,0000,68001,REINTEGRAMENTS PRESSUPOST TANCATS (DESPESES CAPITAL),0,2387.57,2387.57,2387.57
,,0000,87000,PER A DESPESES GENERALS.,0,12019050.38,12019050.38,0
,,0000,87010,Aplicació per a la financiació d'incorporació de crèdits,0,25842077.25,25842077.25,0
,,0000,91101,A MIG I LLARG TERMINI,0,0,0,0
,,0000,91301,Préstecs rebuts a mig i llarg termini. Fora sector públic,0,6021788.34,6021788.34,6355902.24
,,0000,91303,"PRESTECS ENTITAT FNANCERA. CAIXA EST.CATALUNYA,",0,0,0,0
,,1000,39901,"Repercussió anuncis de les licitacions,",0,0,0,0
,,1000,39910,Ingressos conveni Ràdio Tele Taxi.,0,91207.89,91207.89,91207.89
,,1000,49100,URBAN,0,382379.58,382379.58,0
,,1000,42001,"Ministerio de Industria, Turismo y Comercio. Ciutat Digital",0,0,0,0
,,1000,42091,MINISTERI ADMINISTRACIONS PÚBLIQUES.PROJ.INCLOURE IV,0,29364.16,29364.16,12924.23
,,1000,42096,Ministerio de Politica Territorial,0,389.89,389.89,0
,,1000,45021,GENERALITAT DE CATALUNYA.LLEI DE BARRIS,0,665415.86,665415.86,463823.41
,,1000,72000,Mº ADMINISTRACIÓN PÚBLICA - FONS ESTATAL INVERSIÓ LOCAL,0,1934898.97,1934898.97,1166488.06
,,1000,75004,GENERALITAT DE CATALUNYA.LLEI DE BARRIS,0,3252547.89,3252547.89,1552282.22
,,1000,79100,TRANSF. DE L'EXTERIOR. FONS FEDER,0,5183262.36,5183262.36,0
,,1000,79101,Fons Europeus Desen. Regional (FEDER),0,0,0,0
,,1100,46158,"DIPUTACIÓ DE BARCELONA. """"30 ANYS D'AJUNTAMENTS DEMOCRÀTICS"""".",0,0,0,0
,,1100,46179,"Diputació de Barcelona. Edició llibre,",0,0,0,0
,,1100,47003,"PROSEGUR. PROJECTE """"FIRA ABRIL CATALUNYA""""",0,0,0,0
,,1300,44100,Aportació Grameimpuls SA,0,0,0,7878.52
,,1300,45024,"GENERALITAT DE CATALUNYA. TRANSPORT ADAPTAT,",0,0,0,-1496.38
,,1300,45049,Generalitat de Catalunya. PQPI,0,204938.93,204938.93,-41005.32
,,1300,45051,Generalitat de Catalunya treballs als Barris 07,0,0,0,0
,,1300,39190,"ALTRES MULTES I SANCIONS.,",0,0,0,48321
,,1300,39903,"IMPREVISTOS,,",0,0,0,32414.17
,,1300,42091,MINISTERI ADMINISTRACIONS PÚBLIQUES.PROJ.INCLOURE IV,0,29964.55,29964.55,0
,,1300,42092,MINISTERI ADMINISTRACIONS PÚBLIQUES . PROJ. ITINERE,0,344684.44,344684.44,0
,,1300,45014,GENERALITAT DE CATALUNYA. PLANS D'OCUPACIÓ,0,29721.3,29721.3,28042.19
,,1300,45018,GENERALITAT.CENTRE ENSENYAMENT SUPERIOR NUTRICIÓ I DIETÈTICA,0,0,0,0
,,1300,45021,GENERALITAT DE CATALUNYA.LLEI DE BARRIS,0,0,0,-41065.28
,,1300,45023,"GENERALITAT DE CATALUNYA. AGENTS D'OCUPACIÓ (AODL),",0,0,0,0
,,1300,45025,GENERALITAT DE CATALUNYA. GESTOR DE CONTINGUTS,0,0,0,0
,,1300,45027,GENERALITAT DE CATALUNYA. PROGRAMES DE GARANTIA SOCIAL,0,0,0,0
,,1300,45028,GENERALITAT DE CATALUNYA.CURSOS FOC,0,0,0,-8294.01
,,1300,45032,"GENERALITAT DE CATALUNYA. PROJECTE DIFUSIÓ HISTÒRIA.,",0,0,0,0
,,1300,45034,Subvencions Generalitat de Catalunya.,0,0,0,0
,,1300,45035,GENERALITAT DE CATALUNYA. INSTAL·LACIÓ PILONES M.AMBULANT,0,0,0,0
,,1300,45037,ACTIVITATS ARTS ESCÈNIQUES I MÚSICA,0,0,0,0
,,1300,45038,GENERALITAT. ET DESENVOLUPAMENT SOSTENIBLE 2005-2007,0,0,0,0
,,1300,45047,GENERALITAT DE CATALUNYA.FORMACIÓ SECTORS PRIORITARIS I EMER,0,66129.74,66129.74,-25055.56
,,1300,45048,GENERALITAT DE CATALUNYA.APORT.PROG.QUALIFICACIÓ PERSONAL,0,0,0,0
,,1300,45050,GENERALITAT DE CATALUNYA. SOC,0,3003165.68,3003165.68,2091818.76
,,1300,46126,DIPUTACIÓ DE BARCELONA. DESENVOLUPAMENT PILOT SUPORT EMPRESE,0,0,0,0
,,1300,46134,"DIPUTACIÓ DE BARCELONA.PLANS DINAMITZACIÓ FONDO,SINGUERLIN",0,0,0,0
,,1300,46136,DIPUTACIÓ DE BARCELONA. DINAMITZACIÓ CENTRE COMERCIAL URBÀ,0,0,0,0
,,1300,46150,DIPUTACIÓ DE BARCELONA.POL.LOCAL MERCATS MUNICIPALS,0,0,0,0
,,1300,46154,DIPUTACIÓ DE BARCELONA. DINAMITZACIÓ MERCATS MUNICIPALS.,0,0,0,0
,,1300,46159,DIPUTACIÓ DE BARCELONA. TICS ALS MERCATS MUNICIPALS.,0,0,0,0
,,1300,46161,Diputació de Barcelona. Pla Dinamització del Fondo.,0,0,0,0
,,1300,46171,DIPUTACIÓ DE BARCELONA.ESTUDIS EN EL SECTOR HOSTELER,0,0,0,0
,,1300,46189,"DIPUTACIÓ DE BARCELONA. TRAVESSA COTXES D'ÈPOCA.,",0,0,0,0
,,1300,46196,DIPUTACIÓ DE BARCELONA.PLA DINAMITZACIÓ CENTRE,0,0,0,0
,,1300,46201,Ajuntaments. Travessa de cotxes d'època,0,0,0,0
,,1300,47012,SUBVENCIONS CAIXA D'ESTALVIS DE CATALUNYA.,0,0,0,0
,,1300,48000,FUNDACIÓ INFORM. PROGRAMA SEFED,0,216493.46,216493.46,69845.7
,,1300,49004,FONS SOCIAL EUROPEU. PROJECTE SANTA COLOMA INCLOURE,0,0,0,0
,,1410,42095,"PROCESSOS ELECTORALS,",0,0,0,0
,,2000,39901,"Repercussió anuncis de les licitacions,,",0,0,0,279.48
,,2003,42003,PARTICIPACIÓ MUNICIPAL EN ELS TRIBUTS DE L'ESTAT-MANCOMUNITA,0,0,0,0
,,2003,42000,Participació Municipal en tributs de l'Estat (mancomunitat),2568090,0,2568090,2610785.28
,,2003,59200,Interessos d'operacions financeres,5000,0,5000,0
,,2010,83100,Reintegrament préstec Gramepark SA,0,0,0,0
,,2010,52000,Rendiments bancaris,200000,0,200000,292294.76
,,2010,76112,DIPUTACIÓ DE BARCELONA.PROG.CRÈDIT LOCAL,0,0,0,0
,,2030,39212,Recàrrec de constrenyiment (ORGT),0,660592.83,660592.83,689739.41
,,2030,39301,INTERESSOS DE DEMORA MULTES ORGT,0,0,0,2988.03
,,2030,39211,Recàrrecs d'apressament,305400,0,305400,45554.82
,,2030,39300,"Interessos de demora,,",203600,0,203600,273018.44
,,2110,42095,"PROCESSOS ELECTORALS,,",0,0,0,0
,,2120,45023,"Generalitat de Catalunya.Projecte """"PSEnet""""",0,0,0,-15669.59
,,2120,45020,GENERALITAT DE CATALUNYA.NOVES TECNOLOGIES,0,0,0,0
,,2300,39901,"Repercussió anuncis de les licitacions,,,",0,0,0,0
,,2310,39903,"IMPREVISTOS,,,",0,0,0,817.42
,,2310,51000,Interessos bestretes personal,3600,0,3600,3475.22
,,2310,83000,Reintegre credits al personal,180000,0,180000,95934.74
,,2340,48006,SESLAP. PREMI SEGURETAT I SALUT.,0,0,0,0
,,2400,39904,"DESPERFECTES I OBRES EXECUC.   SUBSIDIARIA,",0,0,0,0
,,2400,39912,COSTOS PROCESSALS,0,0,0,-1.07
,,2400,39924,INDEMNITZACIONS PATRIMONIALS,0,0,0,63615.5
,,2400,39925,Indemnitzacions patrimonials IME,0,20571.35,20571.35,20571.35
,,2400,55002,"CONCESSIONS ADMINISTRATIVES,,",0,0,0,1080
,,2400,61001,VENDA PISOS AV SANATORI,0,0,0,3685.01
,,2400,61002,VENDA PISOS PONS I PONS/SARDANA,0,0,0,4596.47
,,2400,39902,"Gestió recaptació pisos Pons i pons, Sanatori i Sardana",1088.31,0,1088.31,1498.06
,,2400,39915,"EXECUCIÓ DE FIANCES,,",0,0,0,536.46
,,2400,51001,Interessos prestecs pisos Pons i Pons- Sardana,3687.5,0,3687.5,3247.57
,,2400,51002,Interessos préstecs pisos Av. Sanatori,6272.97,0,6272.97,4154.23
,,2400,54100,Lloguers,153088.52,0,153088.52,121823.04
,,2400,54102,Lloguer pisos Av. Sanatori,12101.74,0,12101.74,23246.08
,,2400,54103,Lloguer pisos C/Pons i Pons - Sardana,6762.18,0,6762.18,6288.41
,,2400,60002,"ALIENACIÓ DE TERRENYS SENSE EDIFICAR,",0,0,0,0
,,2520,45054,GENERALITAT DE CATALUNYA.IMPLANTACIÓ ADM.ELECTRONICA,0,147031.54,147031.54,0
,,2520,75026,Generalitat de Catalunya. Administració Oberta electrònica,0,0,0,3000
,,2520,76117,Diputació de Barcelona. Pla implantació Admn. Electrònica,0,73515.77,73515.77,0
,,2530,42095,Processos electorals actualització del Cens,0,0,0,63235.16
,,3100,45052,GENERALITAT DE CATALUNYA. CONVENI BENESTAR SOCIAL,0,8410,8410,0
,,3100,83002,Reintegrament préstec UDA Gramenet,0,0,0,0
,,3100,39901,"Repercussió anuncis de les licitacions,,,,",1675,0,1675,3518.86
,,3100,46700,Consorci per a la Normalització Lingüística,0,0,0,0
,,3100,47001,Caixa Pensions Barcelona.Fira Inter.Teatre Integratiu,0,0,0,0
,,3100,47004,FUNDACIÓ CAIXA CATALUNYA.Teatre integratiu,0,0,0,0
,,3100,47013,"BIBLIOTEQUES BCI, SA. FOMENT DE LA LECTURA",0,0,0,0
,,3100,48007,FUNDACIÓ C.CATALUNYA . FIRA INTERNACIONAL TEATRE INTEGRATIU.,0,0,0,0
,,3140,45051,Generalitat de Catalunya. Conveni escola d'adults,0,0,0,22200
,,3210,46148,Diputació de Barcelona. Actuacions Instal·lacions Esportives,0,0,0,0
,,3210,47002,DAMM S.A Esponsorització activitats culturals,0,0,0,0
,,3221,39190,"ALTRES MULTES I SANCIONS.,,",0,0,0,17656.3
,,3221,39904,"DESPERFECTES I OBRES EXECUC.   SUBSIDIARIA,,",0,0,0,0
,,3221,46108,Diputació BCN. Conveni Salut Pública,4050,450,4500,4500
,,3221,75009,"GENERALITAT DE CATALUNYA.ADQUISICIÓ SONÒMETRO, CALIBRADOR",0,0,0,0
,,3222,47022,Conveni col·laboració empresarial. Ferrolant Alanta S.A.,0,2000,2000,2000
