#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,0000,10000,Impost sobre la renda de les persones físiques,1321021.05,0,1321021.05,1197096.78
,,0000,11200,Impost bens immibles nat. rust..,0,0,0,226.15
,,0000,11300,Impost sobre bens Immobles,16397844.52,0,16397844.52,19231278.08
,,0000,11500,Impost Vehicles Tracció Mecànica,4855398.93,0,4855398.93,4683419.63
,,0000,11600,Impost Increment Valor Terrenys Naturalesa Urbana,1305413.7,0,1305413.7,2423451
,,0000,13000,Impost Activitats Econòmiques Empresarials,2148073.53,0,2148073.53,1800716.29
,,0000,21000,Impost sobre el valor afegit,1386278.77,0,1386278.77,1506615.94
,,0000,22000,Impost especial sobre l'alcohol i begudes derivades,31660,0,31660,16850.23
,,0000,22001,Impost especial sobre la cervesa,9760,0,9760,6449.23
,,0000,22003,Impost especial sobre el tabac,205060,0,205060,82674.64
,,0000,22004,Impost especial sobre hidrocarburs,329653.27,0,329653.27,174964.72
,,0000,22006,Impost especial sobre productes intermitjos,700,0,700,397.11
,,0000,29000,"Impost Construccions, instal·lacions i obres",309500,0,309500,263903.98
,,0000,32501,"Expedicio de documents,",22295.59,0,22295.59,62974.96
,,0000,33001,"Taxa d'estacionament de vehicles,  mobilitat reduïda",0,0,0,8787.59
,,0000,33101,Guals i reserves estacionament,545391.22,0,545391.22,573839.62
,,0000,33205,"Companyies aigua, llum, gas",861482.98,0,861482.98,1601099.47
,,0000,33501,Taules i cadires,96082.12,0,96082.12,146698.75
,,0000,33903,"Ocupacio de la via publica,",435093.32,0,435093.32,450362.28
,,0000,38901,Reintegraments pressupostos tancats,0,15417.68,15417.68,21834.24
,,0000,39190,"Altres multes i sancions,",5252.95,0,5252.95,64066.32
,,0000,39200,Recàrrec per declaració extemporánea sense requerimi. previ,0,0,0,45727.83
,,0000,39903,Imprevistos,0,0,0,97773.85
,,0000,39909,Recaptació Telèfons Públics,0,0,0,1564.5
,,0000,39915,"Execució de fiances,",0,0,0,1509.7
,,0000,39917,Interessos Recàrrec Extemporani,0,0,0,2423.78
,,0000,39922,PREMI COBRANÇA RECÀRREC PROVINCIAL IAE,0,0,0,9216.98
,,0000,42001,Compensació IAE,0,0,0,1481044.86
,,0000,42010,Fons complementari de finançament,33202311.16,0,33202311.16,36895474.61
,,0000,45004,Fons municipal de la Generalitat,658957.78,0,658957.78,545814.35
,,0000,45080,Fons supramunicipal de la Generalitat,0,24909.24,24909.24,24909.24
,,0000,46301,Àrea Metropolitana. Operacions Vertebradores,1068000,0,1068000,0
,,0000,55002,Concessions administratives,0,0,0,11970
,,0000,87000,Per a despeses generals,0,10929192.15,10929192.15,0
,,0000,87010,Per a despeses amb finançament afectat.,0,10451351.6,10451351.6,0
,,0000,91101,A mig i llarg termini,0,0,0,0
,,0000,91301,Préstecs rebuts a mig i llarg termini.Fora sector públic,0,7879653.19,7879653.19,10469260.08
,,0000,91303,Préstecs entitat financera.Caixa Est.Catalunya,0,0,0,0
,,1000,39901,Despeses de publicitat : Anuncic licitacions,0,0,0,0
,,1000,39910,Ingressos conveni Ràdio Tele Taxi.,0,0,0,0
,,1000,45021,Generalitat de Catalunya.Llei de Barris,0,290193.88,290193.88,212463.19
,,1000,49100,URBAN,0,319079.58,319079.58,0
,,1000,72000,Mº ADMINISTRACIÓN PÚBLICA - FONS ESTATAL INVERSIÓ LOCAL,0,0,0,-478.95
,,1000,75004,Generalitat de Catalunya.Llei de Barris,0,1642152.98,1642152.98,359314.41
,,1000,79100,Transf.de l'exterior fons FEDER,0,4821828.35,4821828.35,0
,,1300,42092,MINISTERI ADMINISTRACIONS PÚBLIQUES . PROJ. ITINERE,0,344684.44,344684.44,344684.44
,,1300,45002,Generalitat.T.ctes.en compliment conv.serv.soc.i polít.igual,0,0,0,2356.05
,,1300,45014,GENERALITAT DE CATALUNYA. PLANS D'OCUPACIÓ,0,1679.11,1679.11,0
,,1300,45028,Generalitat de Catalunya. Cursos FOC,0,0,0,-20528.45
,,1300,45049,GENERALITAT DE CATALUNYA SUBVENCIONS,0,132005.55,132005.55,132005.55
,,1300,45050,Generalitat de Catalunya. SOC,0,4543591.7,4543591.7,3360892.81
,,1300,46109,Diputació de Barcelona. Guia Turística,0,2000,2000,0
,,1300,46400,Subvencions Àrea Metropolitana de Barcelona,0,1339080,1339080,330306.4
,,1300,48000,FUNDACIÓ INFORM. PROGRAMA SEFED,0,259737.64,259737.64,138769.24
,,2000,39901,Despeses de publicitat : Anuncios licitacions,0,0,0,3696.68
,,2000,42000,Participació en els tributs de l'Estat,2432429.62,105687.7,2538117.32,2726536.98
,,2000,45030,Subvencions Generalitat Catalunya- Ensenyament,0,83260,83260,0
,,2000,46100,Subvencions Diputació Barcelona,0,500000,500000,515000
,,2000,59200,Interessos d'operacions financeres,5000,0,5000,0
,,2030,39212,Recàrrec de constrenyiment (ORGT),0,0,0,79729.09
,,2030,39301,Interessos de demora Multes ORGT,0,0,0,11257.38
,,2100,52000,Rendiments bancaris,200000,0,200000,85791.39
,,2200,39211,Recàrrecs d'apressament,300000,507332.59,807332.59,806897.23
,,2200,39300,Interessos de demora,200000,0,200000,263523.9
,,2200,39900,Costes del servei de recaptació,0,0,0,3.82
,,2400,39901,Despeses de publicitat : Anuncis licitacions,0,0,0,0
,,2400,39903,"IMPREVISTOS,",0,0,0,0
,,2400,51000,Interessos bestretes personal,3600,0,3600,7377.17
,,2400,83000,Reintegre crèdits al personal,180000,0,180000,120967.61
,,2530,42095,Processos electorals,0,0,0,2305.32
,,2600,45020,Generalitat de Catalunya.Noves tecnologies.,0,0,0,0
,,2600,45054,Generalitat de Catalunya.Implantació Adm.Electrònica,0,147031.54,147031.54,2675.81
,,2600,75026,Generalitat de Catalunya. Administració Oberta electrònica,0,0,0,0
,,2600,76117,Diputació de Barcelona. Pla implantació Admn. Electrònica,0,73515.77,73515.77,73515.77
,,2700,45049,Generalitat de Catalunya. Processos electorals,0,72164,72164,72164
,,2900,39902,Gestió recapt.llouger pisos cr Pons i Pons i Av.Sanatori,1122.05,0,1122.05,1592.77
,,2900,39915,"Execució de fiances,,",0,0,0,240.4
,,2900,39924,Indemnitzacions patrimonials,0,46681.26,46681.26,52422.32
,,2900,39925,Indemnitzacions patrimonials IME,0,5922.72,5922.72,5922.72
,,2900,51001,Interessos préstec pisos Pons i Pons - Sardana,3687.5,0,3687.5,2378.82
,,2900,51002,Interessos préstec pisos Av.Sanatori,6272.97,0,6272.97,3248.83
,,2900,54100,Lloguers,124946,0,124946,113054.48
,,2900,54102,Lloguer pisos Av. Sanatori,12476.89,0,12476.89,23302.94
,,2900,54103,Lloguers pisos c/ Pons i Pons-Sardana,6971.8,0,6971.8,6961.08
,,2900,55002,Concessions Administratives,0,0,0,1020
,,2900,61001,Venda pisos av sanatori,0,0,0,4224.35
,,2900,61002,Venda pisos pons i pons/sadarna,0,0,0,5081.3
,,3100,32600,Arrossegament de vehicles,1000000,0,1000000,990444.2
,,3100,32907,Circulacions especials,0,0,0,5517.3
,,3100,36000,Venda d'efectes inútils,11978.49,0,11978.49,10563.12
,,3100,39120,Multes transit : fora ciutat,720000,120000,840000,1503469.17
,,3100,39121,M;ultes de trànsit: Fora ciutat,0,0,0,0
,,3224,39905,ENERGIA FOTOVOLTAICA BIBLIOTECA CENTRAL,0,0,0,0
,,3230,39120,Multes per infraccions de l'Ordenança de Circulació.,0,0,0,1530
,,3312,34403,Utulització Teatre J. M. de Sagarra,0,4298,4298,21239.93
,,3314,34414,"Ingressos Museu Torre Balldovina,",0,0,0,169.65
,,4000,32501,Expedició de documents,42817.76,0,42817.76,9825.36
,,4000,42090,Ministerio de empleo y Seguridad Social. Subvenció corrent,0,66200,66200,0
,,4000,45005,Generalitat.Depart.Contracte programa.Pla per la Convivència,133529.9,0,133529.9,14193.99
,,4000,45052,Generalitat de Catalunya. Conveni Benestar Social,8410,0,8410,0
,,4000,46100,Subvencions Diputació Barcelona,0,0,0,0
,,4000,46139,Diputació BCN. Polítiques d'igualtat i ciutadania,18000,0,18000,869.5
,,4000,46180,Diputació BCN. Polítiques de migració i ciutadania,50000,25000,75000,37500
,,5000,39901,Anuncis oficials,578,0,578,1251.15
,,5000,39911,Altres ingressos Consorci Normalització Lingüística,0,0,0,22728
,,5000,46700,Consorci de Normalització Lingüística. Liquidació aportació,0,11979.94,11979.94,11979.94
,,5022,45024,Generalitat de Catalunya.Contracte prog.transport adaptat,66762.55,0,66762.55,0
,,5022,46300,Mancomunitat transport de disminuïts,158827.09,77172.91,236000,177000
,,5022,46566,Consell Comarcal. Acció integral,0,0,0,0
,,5023,34111,Ingressos centre de dia,34260.03,0,34260.03,18382.08
,,5023,45008,Generalaitat.Contract.prog. Conveni centre de dia,135076,0,135076,0
,,5024,34100,Ingressos serveis de teleassistència,23743.29,0,23743.29,43989.94
,,5024,39908,"Altres ingressos,",0,0,0,39.16
,,5024,45010,Generalitat.Depa.Benestar i Família.Conveni atenció primària,131800,0,131800,0
,,5024,45013,Generalitat.Depa.Benestar i Família.Conveni SAD,1097393.3,0,1097393.3,378388.26
,,5024,46132,Diputació BCN. Servei atenció domiciliària,64290,73248.08,137538.08,68769.04
,,5140,39701,"APROFITAMENT URBANISTIC,",0,0,0,0
,,5140,75020,"Generalitat de Catalunya.Escola Bressol """"La Maduixa""""",0,0,0,-82000
,,5140,75024,"GENERALITAT DE CATALUNYA. LLAR INFANTS SANT JUST,",0,0,0,0
,,5140,75081,Consell Català de l'Esport de la Generalitat,0,0,0,0
,,5140,76104,Diputació de Barcelona. Nou camp de futbol Oliveres,0,0,0,0
,,5140,76115,Diputació de Barcelona. Reparacions Biblioteca C.Peixauet,0,0,0,0
,,5200,45050,Subvencions Generalitat de Catalunya,0,0,0,0
,,5200,45056,Generalitat de Catalunya. AODL,0,25636.48,25636.48,27045.55
,,5202,46108,Diputació BCN.Conveni Salut pública,5679.9,14320.1,20000,0
,,5203,34101,Serveis assistencials,0,0,0,2130.66
,,5203,45006,Servei Català de la salut. Conveni planificació familiar,187071.97,0,187071.97,187071.97
,,5203,46108,Diputació de Barcelona. Conveni Salut pública,4005,5870,9875,0
,,5205,32910,Serveis Especials de Vigilancia,0,0,0,0
,,5205,39190,Altres multes i sanciones,0,0,0,1800
,,5205,46108,Diputació de Barcelona. Conveni Salut pública,6246,8754,15000,0
,,5209,42093,Ministerio de Sanidad y Consumo. Prevenció drogodependències,27427.5,0,27427.5,0
,,5209,42097,Ministerio Sanidad. Prevenció drogodependències.,0,36540,36540,36540
,,5209,45011,Generalitat.Contracte.prog.Programa drogodependències,98977.4,0,98977.4,0
,,5209,46145,Diputacio de Barcelona.Prev.drogodependències medi obert,20000,0,20000,40000
,,5230,76110,Diputació de Barcelona.Con.Aigües Freat.C Peixauet-Parc Mol,0,0,0,0
,,5311,42094,Org.aut.Instituto de la mujer.Programa Clara,0,0,0,-81000
,,5311,45019,Generalitat.Depart.Contracte programa.Polítiques d'igualtat,46000,0,46000,0
,,5311,46101,Diputació de Barcelona. Polítiques d'igualtat,9000,0,9000,17024.42
,,5312,46100,Subvencions Diputació Barcelona. Activitats sensibilització,0,500,500,0
,,5312,46104,Diputació BCN.Agent d'igualtat,0,0,0,4000
,,5312,46106,Diputació de Barcelona. Polítiques d'igualtat,4500,11650.49,16150.49,18524.41
,,5320,42098,Mº Sanidad. Servei de Voluntariat Europeu,0,6148,6148,4303.6
,,5320,46120,Dones i joves (Cooperació Marroc),0,3500,3500,3500
,,5320,46121,Diputació Barcelona. Pla sensibilització per la solidaritat.,0,18000,18000,0
,,5410,33902,Festa major d'estiu ocupació via pública,0,0,0,30000
,,5410,39915,"Execució de fiances,,,",0,0,0,0
,,5410,45042,Generalitat de Catalunya. Activitats Culturals,0,17287.9,17287.9,0
,,5410,46103,DIBA. Mostra Gastronòmica,0,0,0,7000
,,5410,46107,"DIBA. Suport a la programació de cinema, música, fires",0,28000,28000,35000
,,5410,47008,Aportació bars a la Festa Major,9000,0,9000,8600
,,5411,34403,Utilització teatre J.M.Sagarra,0,24760.5,24760.5,40121.57
,,5411,45042,Generalitat de Catalunya. Activitats Culturals,0,9138.12,9138.12,0
,,5411,46107,"DIBA. Suport a la programació de cinema, música, fires",0,9400,9400,0
,,5412,34403,Utilització Auditori,0,0,0,2184.57
,,5412,45042,GENERALITAT DE CATALUNYA. ACTIVITATS CULTURALS.,0,3678.28,3678.28,0
,,5412,46107,"DIBA. Suport a la programació de cinema, música, fires",0,3800,3800,47000
,,5413,34402,"Utilització C. Cultural Can Sisteré,,",0,0,0,430.25
,,5413,39908,"Altres ingressos,,",0,0,0,260
,,5413,45042,Generalitat de Catalunya. Activitats Culturals,0,1880.7,1880.7,0
,,5413,46107,"DIBA. Suport a la programació de cinema, música, fires",0,2000,2000,7000
,,5414,34414,Ingressos museu Torre Balldovina,2062,0,2062,645.89
,,5414,34900,Altres preus públics,0,0,0,0
,,5414,45014,Generalitat de Catalunya. Funcionament museu,1800,2536,4336,4336
,,5414,45031,Generalitat de Catalunya. Intervencions al Poblar Ibèric,2500,9500,12000,6045.3
,,5414,46113,DIBA. Itineraris pel patrimoni de Santa Coloma,0,1000,1000,2500
,,5414,46144,Diputació de Barcelona. Difusió patrimonial cultural,0,11000,11000,12000
,,5415,46107,"DIBA. Suport a la programació de cinema, música, fires",0,3800,3800,0
,,5417,34400,Utilització CRJ Mas Fonollar,0,0,0,0
,,5417,45042,GENERALITAT DE CATALUNYA. ACTIVITATS CULTURALS.,0,8500,8500,8500
,,5417,46100,Subvencions Diputació de Barcelona.,0,0,0,0
,,5417,46111,Programa d'infromació i dinamització juvenil als centres d'e,0,7600,7600,7600
,,5417,46112,Diputació de Barcelona. Conveni joventut,12600,0,12600,28814
,,5418,45046,Generalitat de Catalunya. Activitats extraescolars.,0,0,0,0
,,5500,42012,Generalitat.Contracte programa famílies vulnerables,39832,0,39832,0
,,5500,45003,Generalitat.Depart.Benestar i Família. Programa EAIA,338167,0,338167,98463
,,5500,45009,Generalitat. Depart.Benestar i Família. Pretallers,253172,0,253172,0
,,5500,45010,Generalitat.Dep.Benestar i Família.Conveni atenció primària,769548.79,0,769548.79,262292.48
,,5500,45019,Generalitat.Dep.contracte prog.polítiques dones,9997.23,0,9997.23,0
,,5500,45033,"Generalitat de Catalunya.Actuacions comunitàries i cíviques,",49773.71,0,49773.71,49773.71
,,5500,45039,Generalitat. Serveis socials.Ajuts urgència social,80141,0,80141,0
,,5500,46146,Diputació de Barcelona.Infància i família. medi obert,22000,372.8,22372.8,15000
,,5500,46147,Diputació de Barcelona.Conveni atenció primària,91673.12,11027.28,102700.4,132991
,,5514,45033,"Generalitat de Catalunya.Actuacions comunitàries i cívique,,",0,0,0,8319.79
,,5514,45034,Generalitat. Contracte programa Plans d'inclusio social  SOC,91014,0,91014,0
,,6000,32501,Expedició de documents,0,0,0,0
,,6000,46139,Diputacio BCN.Conveni immigrants. CITE,0,0,0,24100.61
,,6000,46180,Diputació de Barcelona. Serveis de mediació ciutadana,0,0,0,37500
,,6110,45012,Generalitat de Catalunya.Oficina munic.escolarització,16000,0,16000,0
,,6110,45051,Generalitat de Catalunya. Conveni escola d'adults,0,0,0,22200
,,6110,45099,Generalitat. Ensenyament. Reciclatge llibres text,250150,0,250150,0
,,6120,34900,"Altres preus publics ,",0,0,0,0
,,6120,45043,Generalitat de Catalunya.Conveni col.Pla educatiu d'entorn,0,119422,119422,53160.07
,,6120,46114,Diputació de Barcelona.Activitats educatives complementàries,41903.1,0,41903.1,45617.73
,,6120,46133,DIPUTACIÓ DE BARCELONA. SUPORT FINANÇAMENT ESCOLES BRESSOL.,0,0,0,0
,,6120,46139,Diputació BCN. Polítiques d'igualtat i ciutadania,0,11148,11148,0
,,6120,46155,DIBA. Coneguem els nostres parcs,0,1559.4,1559.4,1559.4
,,6130,45036,Generalitat de Catalunya. Suport centres educació infantil,442800,0,442800,0
,,6130,46100,Subvencions Diputació de Barcelona.,0,11433,11433,5716.5
,,6130,46152,Diputació de Barcelona. Suficiència alimentaria 0-3,0,0,0,10225.11
,,6212,55002,Concessions administratives centres cívics,0,0,0,4750
,,7000,39901,Repercussió anuncis de les licitacions,8583.08,0,8583.08,1071.66
,,7000,75099,Generalitat de Catalunya,0,357372.01,357372.01,134928.46
