#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
,,1001,91201,1000000,Retribucions Bàsiques Càrrecs Electes,863983.94,-34534.37,829449.57,782837.32
,,1001,91201,1600000,Seguretat Social,223043.64,0,223043.64,206251.59
,,1001,91201,1600900,Muface,1188.72,0,1188.72,1002.65
,,1100,23201,2279909,Altres treballs realitzats per altres empreses i professiona,0,75481.06,75481.06,65427.07
,,1100,92001,1100000,Retribucions Bàsiques Eventual Gabinets,13308.6,0,13308.6,13308.6
,,1100,92001,1100100,Retribucions Complementàries Eventual Gabinets,56691.4,0,56691.4,56691.4
,,1100,92001,1600000,Seguretat Social,12489,0,12489,13113.6
,,1100,92001,2260217,Gestió i publicitat Llei de Barris,75000,52575.78,127575.78,107766.65
,,1100,92001,2260300,Anuncis oficials,1200,0,1200,0
,,1100,92001,2269900,Altres despeses,6000,0,6000,2107.66
,,1100,92001,2270600,Estudis i treballs tècnics,3000,0,3000,16881.4
,,1100,92001,4490100,"Transferències a Grameimpuls, SA (Barris/AMB)",366098.82,-209770,156328.82,147578.82
,,1100,92001,4890100,Altres transferències,0,0,0,8749.99
,,1110,91202,1100000,Retribucions Bàsiques Eventual Gabinets,17524.24,0,17524.24,17429.34
,,1110,91202,1100100,Retribucions Complementàries Eventual Gabinets,46691.4,0,46691.4,47103.28
,,1110,91202,1300000,Retribucions bàsiques personal laboral,25592.12,0,25592.12,25855.85
,,1110,91202,1300200,Altres retribucions personal laboral,13409.88,0,13409.88,13260.88
,,1110,91202,1600000,Seguretat Social,24586.56,0,24586.56,25573.88
,,1110,91202,4890500,Transferències als Grups municipals,74100,3600,77700,77700
,,1120,49101,4670200,Transferències a localret,14278,0,14278,14006.89
,,1120,92003,1200000,Retribució sou base funcionari A1,17978.62,0,17978.62,17978.62
,,1120,92003,1200400,retribució sou base funcionari C2,10189.24,0,10189.24,10189.24
,,1120,92003,1200600,Triennis,2179.8,0,2179.8,2361.45
,,1120,92003,1210000,Complement destí funcionaris,9238.92,0,9238.92,9238.92
,,1120,92003,1210100,Complement específica funcionaris,19847.4,0,19847.4,19847.4
,,1120,92003,1300000,Retribucions bàsiques personal laboral,249476.71,0,249476.71,255970.98
,,1120,92003,1300100,Hores extraordinàries personal laboral,0,0,0,48.03
,,1120,92003,1300200,Altres retribucions personal laboral,64941.84,0,64941.84,59598.81
,,1120,92003,1600000,Seguretat Social,134306.88,0,134306.88,118436.4
,,1120,92003,2130100,Manteniment instal·lacions,1700,0,1700,1857.92
,,1120,92003,2200000,Material d'oficina,20000,0,20000,29723.07
,,1120,92003,2200100,"Premsa, revistes i llibres",17000,0,17000,13940.91
,,1120,92003,2200200,Material informàtic,2600,0,2600,0
,,1120,92003,2260200,Publicitat i propaganda,0,109000,109000,114114.93
,,1120,92003,2260300,Anuncis oficials,30000,0,30000,0
,,1120,92003,2269900,Altres despeses,5355,0,5355,1516.78
,,1120,92003,2270600,Estudis i treballs tècnics,42500,0,42500,18889.08
,,1120,92003,1310000,Retribucions personal laboral eventual,31860.52,0,31860.52,31903.16
,,1120,92003,1430000,Despeses per substitucions,28398.39,0,28398.39,28456.51
,,1200,33401,4890300,Transferencies entitats,0,42000,42000,40661.84
,,1200,91203,1100000,Retribucions Bàsiques Eventual Gabinets,16680.66,-16680.66,0,0
,,1200,91203,1100100,Retribucions Complementàries Eventual Gabinets,46691.4,-46691.4,0,0
,,1200,91203,1200000,Retribució sou base funcionari A1,17941.08,-10000,7941.08,1109.05
,,1200,91203,1200600,Triennis,9712.03,0,9712.03,9741.81
,,1200,91203,1210000,Complement Destí funcionaris,25734.24,0,25734.24,22957.77
,,1200,91203,1210100,Complement específic funcionaris,70234.92,0,70234.92,67741.66
,,1200,91203,1210300,Altres complements funcionaris,2766.48,0,2766.48,3722.32
,,1200,91203,1300000,Retribucions bàsiques personal laboral,54544.56,0,54544.56,54874.34
,,1200,91203,1300200,Altres retribucions personal laboral,10084.56,0,10084.56,10084.56
,,1200,91203,1600000,Seguretat Social,80291.88,0,80291.88,64743.53
,,1200,91203,2230000,Transports,400,0,400,125.14
,,1200,91203,2260100,Atencions Protocolàries,10200,0,10200,3852.73
,,1200,91203,2260900,Actes i exposicions,5000,0,5000,9574.47
,,1200,91203,2269900,Altres despeses,19800,0,19800,16372.92
,,1200,91203,1200300,Retribucions sou base funcionari C1,64030.67,0,64030.67,75165.83
,,1200,94301,4660100,Transferències a la Federació de municipis,23000,0,23000,23513.49
,,1200,94301,4660300,Transferències al Fòrum Barcelonès Nord,7000,-3600,3400,0
,,1210,91203,1100000,Retribucions Bàsiques Eventual Gabinets,17280.48,0,17280.48,17280.48
,,1210,91203,1100100,Retribucions Complementàries Eventual Gabinets,31198.6,0,31198.6,31114.58
,,1210,91203,1200400,Retribució sou base funcionari C2,12007.56,0,12007.56,11650.8
,,1210,91203,1200600,Triennis,3593.74,0,3593.74,3629.3
,,1210,91203,1210000,Complement Destí funcionaris,10441.08,0,10441.08,9861.88
,,1210,91203,1210100,Complement específic funcionaris,23344.8,0,23344.8,22117.12
,,1210,91203,1210300,Altres complements funcioaris,9939.36,0,9939.36,9746.09
,,1210,91203,1300000,Retribucions bàsiques personal laboral,140288.04,0,140288.04,143624.32
,,1210,91203,1300200,Altres retribucions personal laboral,17313.84,0,17313.84,15512.79
,,1210,91203,1600000,Seguretat Social,90913.68,0,90913.68,72135.27
,,1210,91203,1200300,Retribucions sou base funcionari C1,24007.41,0,24007.41,25728.46
,,1300,24101,4490100,Transferències Grameimpuls SA,0,7022879.75,7022879.75,3309077.4
,,1300,43301,2269900,Altres despeses,11000,0,11000,10848.63
,,2000,15201,4490300,"Transferències a Gramepark, SA",2600000,-1486469,1113531,1113531
,,2000,15201,7490000,Transferències a Gramepark SA,0,4938341.29,4938341.29,4938341.29
,,2000,24101,4490100,"Transferències a Grameimpuls, SA",1000000,0,1000000,1299605.24
,,2000,24101,4490200,Fons PLA D'OCUPACIÓ,800000,0,800000,500394.76
,,2000,32404,2279915,Altres convenis UNED,218000,0,218000,143510.13
,,2000,32405,4110200,Transferència Patronat Municipal de la Música,337000,2360,339360,339360
,,2000,34101,4110100,Transferència a l'IME,1474109.82,72627,1546736.82,1546736.82
,,2000,43301,2279913,Convenis,70000,33000,103000,94161.98
,,2000,93100,1100000,Retribucions Bàsiques Eventual Gabinets,15438.48,0,15438.48,15348.3
,,2000,93100,1100100,Retribucions Complementàries Eventual Gabinets,50691.4,0,50691.4,50938.48
,,2000,93100,1300000,Retribucions bàsiques personal laboral,4448.93,0,4448.93,4483.7
,,2000,93100,1300200,Altres retribucions personal laboral,179.76,0,179.76,179.76
,,2000,93100,1600000,Seguretat Social,13965.96,0,13965.96,14554.19
,,2000,93100,2200100,"Premsa, revistes i llibres",2000,-1929,71,71
,,2000,93100,2269900,Altres despeses,8000,-2759.04,5240.96,2182.82
,,2000,93100,2270600,Estudis i treballs tècnics,2388.5,-2388.5,0,0
,,2000,93100,4900000,Fons CONTINGÈNCIA LEP 2/2012,500000,0,500000,0
,,2000,94301,4630100,Transferències a la Mancomunitat OOVV,1287758.08,2035161.68,3322919.76,3322919.76
,,2000,94301,4630200,Transferències a la Mancomunitat PMTE,2943239.84,-4706.91,2938532.93,2938532.93
,,2010,93100,1200000,Retribució sou base funcionari A1,0,0,0,17286.56
,,2010,93100,1200600,Triennis,4231.2,0,4231.2,5096.42
,,2010,93100,1210000,Complement Destí funcionaris,9474.96,0,9474.96,15593.04
,,2010,93100,1210100,Complement específic funcionaris,15560.4,0,15560.4,24281.88
,,2010,93100,1430000,Despeses per substitució,18446.3,0,18446.3,18489.45
,,2010,93100,1600000,Seguretat Social,19943.88,0,19943.88,26159.62
,,2010,93100,1200300,Retribucions sou base funcionari C1,24574.14,0,24574.14,24574.14
,,2100,01101,3100100,Interessos préstec llarg termini,2886144.35,-990000,1896144.35,1793041.63
,,2100,01101,3100200,Interessos préstec curt termini,150000,0,150000,64895.63
,,2100,01101,3530000,Altres despeses financeres (swap BBVA),800908.03,0,800908.03,818417.75
,,2100,01101,9110100,Amortització préstecs llarg termini. Sector públic,189217.06,0,189217.06,221003.89
,,2100,01101,9130100,Amortització préstecs llarg termini. Sector privat,8545948.94,0,8545948.94,8420842.5
,,2100,93400,1200000,Retribució sou base funcionari A1,19751.96,0,19751.96,18406.57
,,2100,93400,1200100,Retribució sou base funcionari A2,15305.72,0,15305.72,15827.44
,,2100,93400,1200600,Triennis,5639.25,0,5639.25,6263.27
,,2100,93400,1210000,Complement Destí funcionaris,20568.72,0,20568.72,20013.02
,,2100,93400,1210100,Complement específic funcionaris,44972.28,0,44972.28,43393.96
,,2100,93400,1210300,Altres complements,0,0,0,3951.22
,,2100,93400,1300000,Retribucions bàsiques personal laboral,24079.5,0,24079.5,24246.85
,,2100,93400,1600000,Seguretat Social,39417.6,0,39417.6,40567.29
,,2100,93400,2269900,Altres despeses,6000,0,6000,2228.02
,,2100,93400,2279909,Contractes desenvolupament serveis,10000,-3858.55,6141.45,0
,,2100,93400,3110100,Despeses de formalització operacions de crèdit,50000,-1500,48500,50000
,,2100,93400,3190000,Altres despeses financeres,1000,0,1000,993.31
,,2100,93400,3520000,Interessos de demora,19000,0,19000,8053.57
,,2100,93400,1200300,Retribucions sou base funcionari C1,24004.34,0,24004.34,24166.96
,,2200,93201,1200600,Triennis,15801.72,0,15801.72,12674.21
,,2200,93201,1210000,Complement Destí funcionaris,32153.16,0,32153.16,25513.31
,,2200,93201,1210100,Complement específic funcionaris,69986.28,-14000,55986.28,54580.66
,,2200,93201,1210300,Altres complements funcionaris,1156.8,0,1156.8,197.3
,,2200,93201,1300000,Retribucions bàsiques personal laboral,8893.02,0,8893.02,8999.69
,,2200,93201,1300200,Altres retribucions personal laboral,4297.56,0,4297.56,4297.56
,,2200,93201,1600000,Seguretat Social,55917.72,0,55917.72,45388
,,2200,93201,1610400,Indemnització al personal lab.per jubilacions anticipades,0,0,0,41562.76
,,2200,93201,2269900,Altres despeses,3000,3858.55,6858.55,5401.24
,,2200,93201,2270800,Despeses per la gestió de l'ORGT (executiva),758000,491693.56,1249693.56,494278.92
,,2200,93201,2279917,Despeses per la gestió de l'ORGT (multes),120000,33935.81,153935.81,153935.81
,,2200,93201,2279918,Despeses per la gestió de l'ORGT (voluntària IVTM),75000,0,75000,65483.22
,,2200,93201,1200300,Retribucions sou base funcionari C1,88834.79,-14000,74834.79,74920.81
,,2300,93202,1200000,Retribució sou base funcionari A1,21498.46,0,21498.46,21498.46
,,2300,93202,1200100,Sou basse funcionari A2,0,0,0,703.25
,,2300,93202,1200400,Retribució sou base funcionari C2,32906.82,0,32906.82,33880.56
,,2300,93202,1200600,Triennis,27589.15,0,27589.15,25163.49
