#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,0000,38000,REINTEGRAMENT D'AVALS.,0,0,0,9.02
,,0000,38901,Reintegraments pressupostos tancats,0,0,0,37292.19
,,0000,39903,IMPREVISTOS,0,27605.34,27605.34,56895.94
,,0000,39915,"Execució de fiances,",0,0,0,48
,,0000,39926,Generalitat de Catalunya. Impost estades turístiques.,0,0,0,4180.95
,,0000,45000,Generalitat-Fons de cooperació local de Catalunya,440000,0,440000,955899.55
,,0000,45080,"Altres subv.corrents de la Adm.General Generalitat Cataluny,",0,0,0,0
,,0000,46149,"Diputació Barcelona - Xarxa de Governs Locals 2012-15,",0,0,0,0
,,0000,55002,"Concessions administratives,",0,0,0,0
,,0000,59901,Altres ingressos patrimonials,0,27450.9,27450.9,27450.9
,,0000,68001,REINTEGRAMENTS PRESSUPOST TANCATS (DESPESES CAPITAL),0,317538.95,317538.95,317538.95
,,0000,87000,Per a despeses generals,0,612774.93,612774.93,0
,,0000,87010,Per a despeses amb finançament afectat,0,4693655.71,4693655.71,0
,,0000,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,21972.5,21972.5,0
,,0000,10000,Impost sobre la renda de les persones físiques,1249000,0,1249000,1337470.8
,,0000,11300,Impost sobre bens immobles,17857000,0,17857000,18132186.94
,,0000,11500,Impost vehicles tracció mecànica,4400000,0,4400000,4231702.32
,,0000,11600,Impost sobre l'increment valor terrenys naturalesa urbana,2105459.1,0,2105459.1,3926068.74
,,0000,13000,Impost activitats econòmiques empresarials,1860000,0,1860000,1873794.55
,,0000,21000,Impost sobre el valor afegit,2032000,0,2032000,2197348.08
,,0000,22000,Impost especial sobre l'alcohol i begudes derivades,29000,0,29000,29270.23
,,0000,22001,Impost especial sobre la cervesa,10000,0,10000,10259.31
,,0000,22003,Impost especial sobre el tabac,169000,0,169000,168980.64
,,0000,22004,Impost especial sobre hidrocarburs,345000,0,345000,380794.31
,,0000,22006,Impost especial sobre productes intermitjos,650,0,650,877.79
,,0000,29000,"Impost construccions, instal·lacions i obres",180000,0,180000,150471.65
,,0000,32501,Expedició de documents,40000,0,40000,65202.09
,,0000,33001,Taxa d'estacionament de vehicles de mobilitat reduïda,4000,0,4000,8122.94
,,0000,33101,Guals i reserves estacionament,550000,0,550000,587247.54
,,0000,33205,"Companyies aigua, llum, gas, tel.",950000,0,950000,1183852.48
