#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
,,1001,91201,1000000,Retribucions  Bàsiques Càrrecs Electes,736670.15,,,
,,1001,91201,1600000,Seguretat Social,182690.64,,,
,,1100,15120,2260217,Gestió i publicitat Llei de Barrris,43000,,,
,,1100,49100,2270600,Estudis i treballs tècnics,24000,,,
,,1100,49100,2260300,Anuncis oficials,1200,,,
,,1100,49100,2269900,Altres despeses,5500,,,
,,1100,49100,4890901,Quota CCMEUR,500,,,
,,1100,92001,1100000,Retribucions Bàsiques Eventual Gabinets,26883.6,,,
,,1100,92001,1100100,Retribucions Complementàries Eventual Ga,107116.4,,,
,,1100,92001,1300000,Retribucions bàsiques personal laboral,33535.96,,,
,,1100,92001,1300200,Altres retribucions personal laboral,14332.92,,,
,,1100,92001,1600000,Seguretat Social,40863,,,
,,1100,92200,4660100,Transferència a la Federació de Municipis de Catalunya,25000,,,
,,1110,91202,1100000,Retribucions Bàsiques Eventual Gabinets,18064.94,,,
,,1110,91202,1100100,Retribucions Complementàries Eventual Ga,46558.2,,,
,,1110,91202,1600000,Seguretat Social,13941.48,,,
,,1110,91204,4890500,Transferències als grups municipals,77700,,,
,,1120,49101,4670200,Transferències a Localret,15000,,,
,,1120,92003,1200400,Retribució sou base funcionari C2,10344.95,,,
,,1120,92003,1200600,Triennis,922.08,,,
,,1120,92003,1210000,Complement Destí  funcionaris,3152.16,,,
,,1120,92003,1210100,Complement específic funcionaris,7175.64,,,
,,1120,92003,1300000,Retribucions bàsiques personal laboral,171893.32,,,
,,1120,92003,1300200,Altres retribucions personal laboral,45571.56,,,
,,1120,92003,1310000,Retribucions personal Laboral eventual,62051,,,
,,1120,92003,1600000,Seguretat Social,98131.01,,,
,,1120,92003,2130100,Manteniment instal.lacions,2000,,,
,,1120,92003,2200000,Material d'oficina,20000,,,
,,1120,92003,2200100,"Premsa, revistes, llibres i altres publicacions",33500,,,
,,1120,92003,2200200,Material informàtic,5000,,,
,,1120,92003,2260200,Publicitat i propaganda,62500,,,
,,1120,92003,2260300,Anuncis oficials,1000,,,
,,1120,92003,2269900,Altres despeses,6000,,,
,,1120,92003,2270600,Estudis i treballs tècnics,20000,,,
,,1200,91203,1200300,Retribució sou base funcionari C1,78266.76,,,
,,1200,91203,1200600,Triennis,10757.16,,,
,,1200,91203,1210000,Complement Destí  funcionaris,24663.48,,,
,,1200,91203,1210100,Complement específic funcionaris,72889.68,,,
,,1200,91203,1210300,Altres complements funcionaris,2794.08,,,
,,1200,91203,1300000,Retribucions bàsiques personal laboral,67979.84,,,
,,1200,91203,1300200,Altres retribucions personal laboral,24518.4,,,
,,1200,91203,1600000,Seguretat Social,75364.24,,,
,,1200,91203,2230000,Transports,400,,,
,,1200,91203,2260100,Atencions protocolàries,7200,,,
,,1200,91203,2260900,Actes i exposicions,16000,,,
,,1200,91203,2269900,Altres despeses,19800,,,
,,1210,91203,1100000,Retribucions Bàsiques Eventual Gabinets,34907.04,,,
,,1210,91203,1100100,Retribucions Complementàries Eventual Ga,58649.44,,,
,,1210,91203,1200300,Retribució sou base funcionari C1,49654.06,,,
,,1210,91203,1200400,Retribució sou base funcionari C2,12163.54,,,
,,1210,91203,1200600,Triennis,8472.72,,,
,,1210,91203,1210000,Complement Destí  funcionaris,17939.52,,,
,,1210,91203,1210100,Complement específic funcionaris,39594.48,,,
,,1210,91203,1210300,Altres complements funcionaris,15198.72,,,
,,1210,91203,1300000,Retribucions bàsiques personal laboral,163793.92,,,
,,1210,91203,1300200,Altres retribucions personal laboral,18243.84,,,
