#,Àlies,Org.,Eco.,Descripció,Previsions inicialss,Total Modificacions,Previsions totals,Drets reconeguts nets
,,0000,39903,IMPREVISTOS,0,,,
,,0000,10000,Impost sobre la renda de les persones físiques,1356000,,,
,,0000,11300,Impost sobre bens immobles,19995000,,,
,,0000,11500,Impost vehicles tracció mecànica,4400000,,,
,,0000,11600,Impost sobre l'increment valor terrenys naturalesa urbana,3840000,,,
,,0000,13000,Impost activitats econòmiques empresarials,2080000,,,
,,0000,21000,Impost sobre el valor afegit,2000000,,,
,,0000,22000,Impost especial sobre l'alcohol i begudes derivades,30000,,,
,,0000,22001,Impost especial sobre la cervesa,10000,,,
,,0000,22003,Impost especial sobre el tabac,191000,,,
,,0000,22004,Impost especial sobre hidrocarburs,325000,,,
,,0000,22006,Impost especial sobre productes intermitjos,690,,,
,,0000,29000,"Impost construccions, instal·lacions i obres",180000,,,
,,0000,32501,Expedició de documents,50000,,,
,,0000,33001,Taxa d'estacionament de vehicles de mobilitat reduïda,7000,,,
,,0000,33101,Guals i reserves estacionament,581028.18,,,
,,0000,33205,"Companyies aigua, llum, gas, tel.",1100000,,,
,,0000,33501,Taules i cadires,174530,,,
,,0000,33903,Ocupació de la via pública,412080,,,
,,0000,39190,Multes dels serveis,80000,,,
,,0000,39922,Premi cobrança recàrrec provincial IAE,4400,,,
,,0000,39924,Indemnitzacions patrimonials-compres i gestió patrimonial,50000,,,
,,0000,42010,Fons complementari de finançament,40850000,,,
,,0000,42020,Compensació IAE,1595000,,,
,,0000,45000,Generalitat-Fons de cooperació local de Catalunya,483000,,,
,,1300,45050,Generalitat de Catalunya. Convenis ocupació i desenv local,0,,,
,,2000,39901,Despeses de publicitat: anuncis licitació-direcció economia,3000,,,
,,2000,42010,"Participació municiapl en tributs de l'Estat (Man.6,25% PTE)",2954000,,,
,,2000,45000,Generalitat-Fons per al Foment del Turisme,6000,,,
,,2200,39190,"Altres multes i sancions-Comerç,Consum i Fires",16000,,,
,,2200,46129,Diputació Barcelona. Activitats en matèria de consum,1400,,,
,,2400,51801,Interessos bestretes del personal,5000,,,
,,2400,83000,Reintegrament crèdits al personal,180000,,,
,,2900,83101,Reintegrament de préstecs de fora del sector públic a/lt,0,,,
,,2900,39902,"Gestió recapt.lloguer pisos Pons i Pons, Sanatori i Sardana",2000,,,
,,2900,54100,Lloguers,100000,,,
,,2900,54102,Lloguer pisos Av. Sanatori,29000,,,
,,2900,54103,Lloguer pisos cr. Pons i Pons - Sardana,9200,,,
,,3100,32600,Arrossegament de vehicles,750000,,,
,,3100,32907,Circulacions especials,4120.8,,,
,,3100,36000,Venda d'efectes inútils,10000,,,
,,3100,39120,Multes de trànsit,865000,,,
,,3100,39190,Altres multes i sancions-seguretat ciutadana,19400,,,
,,5000,39901,Despeses publicitat: anuncis licitació-direcció serv.persone,2000,,,
,,5022,45060,Generalitat. Fitxa 9. transport adaptat,66762.55,,,
,,5022,46400,AMB- Transport adaptat,241100,,,
,,5024,34100,Ingressos serveis de teleassistència,75000,,,
,,5024,45002,Generalitat-Fitxa 1 SAD social i dependència,1164442.15,,,
,,5024,46132,Diputació BCN. Servei atenció domiciliària,320000,,,
,,5030,46108,Diputació BCN. Conveni Salut Pública,15000,,,
,,5033,32910,Autorització sanitària municipal,2575.5,,,
,,5033,39190,Altres multes i sancions-programa protecció salut,10000,,,
,,5033,46108,Diputació BCN. Conveni Salut Pública,15000,,,
,,5112,46101,Diputació BCN. Polítiques d'igualtat,15000,,,
,,5112,46106,Diputació BCN. Polítiques d'igualtat,9000,,,
,,5200,34400,Utilització equipmanets culturals,1020,,,
,,5209,45060,Generalitat. Fitxa 21. Programa drogodependències,98977.4,,,
,,5209,46145,Diputació BCN.Prev.Dorgodependències.Prev.medi obert,20000,,,
,,5210,33902,Festa major d'estiu ocupació via pública,24724.8,,,
,,5411,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,,,
,,5411,34403,Utilització Teatre Josep Maria Segarra,47500,,,
,,5411,46107,Diputació BCN. Festivals artístics i programació cultural,23500,,,
,,5412,34401,Utilització auditori Can Roig i Torres,5151,,,
,,5414,34414,Ingressos museu Torre Balldovina,100,,,
,,5414,45080,"Generalitat.Aportació despese s""""El Puig Castellar""""",3218.21,,,
,,5414,46144,Diputació BCN. Difusió Patrimoni. Museu,5500,,,
,,5417,45060,Generalitat Fitxa 34 Activitats i projectes adreçats a joves,12900,,,
,,5417,46111,Diputació BCN. Punts informació juvenil,3500,,,
,,5417,46112,Diputació BCN.Àrea cultura.Conveni juventut,17600,,,
,,5500,46146,Diputació BCN. Infància i família. Intervenció medi obert,22000,,,
,,5500,46147,Diputació BCN.Àrea Benestar Social.Conveni atenció primària,100000,,,
,,5501,45002,Generalitat. Fitxa 1. Equips bàsics,910354.9,,,
,,5502,45002,Generalitat.Fitxa 2. Intervenció Socioeducativa,365631,,,
,,5503,45002,Generalitat.Fitxa 1. Ajuts socials,80141,,,
,,5506,45002,Generalitat.Fitxa 6. Sistemes de resposta violència gènere,9600,,,
,,5509,45002,Generalitat. Fitxa 19. EAIA,462988,,,
,,5514,45050,Generalitat. Fitxa 8. Plans d'inclusió social,80697.52,,,
,,5600,32501,Expedició de documents-mediació i convivència,10302,,,
,,5600,45002,Generalitat-Fitxa 7 Acollida i integració,77000,,,
,,5600,46139,Diputació BCN.Polítiques d'igualtat i ciutadania,18000,,,
,,5600,46180,Diputació BCN.Polítiques de migració i ciutadania,50000,,,
,,5900,34301,Serveis esportius,244085.48,,,
,,5900,34303,Preus públics gimnàstica gent gran,11698.44,,,
,,5900,46100,Subvencions Diputació de Barcelona Esports,12300,,,
,,5900,55001,"Cànon complex Can Zam, Torribera i Raval",125000,,,
,,6120,45080,Generalitat. Pla educatiu entorn,18000,,,
,,6120,46114,Diputació de Barcelona Activitats educatives complementàries,40000,,,
