#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Drets reconeguts nets
,,0000,10000,Impost sobre la renda de les persones físiques,1356000,0,338851.8
,,0000,11300,Impost sobre bens immobles,21214322.72,0,64587.28
,,0000,11500,Impost vehicles tracció mecànica,4300000,0,4236754.96
,,0000,11600,Impost sobre l'increment valor terrenys naturalesa urbana,4100000,0,1320147.09
,,0000,13000,Impost activitats econòmiques empresarials,2000000,0,19454.64
,,0000,21000,Impost sobre el valor afegit,2400000,0,554192.94
,,0000,22000,Impost especial sobre l'alcohol i begudes derivades,27000,0,7170.21
,,0000,22001,Impost especial sobre la cervesa,10000,0,2358.48
,,0000,22003,Impost especial sobre el tabac,191000,0,41947.56
,,0000,22004,Impost especial sobre hidrocarburs,350000,0,86158.56
,,0000,22006,Impost especial sobre productes intermitjos,900,0,209.43
,,0000,29000,"Impost construccions, instal·lacions i obres",190000,0,88207.55
,,0000,32501,Expedició de documents,50000,0,10425.09
,,0000,33001,Taxa d'estacionament de vehicles de mobilitat reduïda,10000,0,2503.32
,,0000,33002,Taxa d'estacionament de vehicles en determinades zones,0,0,0
,,0000,33101,Guals i reserves estacionament,601000,0,601242.45
,,0000,33205,"Companyies aigua, llum, gas, tel.",1000000,0,250174.17
,,0000,33501,Taules i cadires,185000,0,201894.11
,,0000,33903,Ocupació de la via pública,390000,0,286205.24
,,0000,33904,Altres taxes per utilització privada de domini públic,0,0,1704.54
,,0000,38901,Reintegraments pressupostos tancats,0,0,83099.07
,,0000,39190,Multes dels serveis,105000,0,63765.41
,,0000,39903,Imprevistos,0,0,192.12
,,0000,39922,Premi cobrança recàrrec provincial IAE,4400,0,0
,,0000,39924,Indemnitzacions patrimonials-compres i gestió patrimonial,10000,0,316.6
,,0000,42010,Fons complementari de finançament,42000000,0,10910588.73
,,0000,42020,Compensació IAE,1600000,0,399625.77
,,0000,45000,Generalitat-Fons de cooperació local de Catalunya,480000,0,0
,,0000,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,0
,,0000,55002,Concessions administratives,0,0,0
,,0000,59901,Altres ingressos patrimonials,7500,0,7500
,,0000,87000,per a despeses generals,0,1656211.14,0
,,0000,87010,per a despeses amb finançament afectat,0,6941991.14,0
,,0000,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,0,0
,,0000,91303,Préstecs entitat financera Caixa Est. Catalunya,0,0,0
,,1000,45000,Generalitat-Fons de cooperació local de Catalunya,0,0,0
,,1000,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,269722.45,0
,,1000,49100,Mº Economia y Hacienda URBAN,0,18625.59,0
,,1000,79100,Transf.de l'exterior. FONS FEDER,0,0,0
,,1300,45050,Generalitat de Catalunya. Convenis ocupació i desenv local,0,0,0
,,1300,48000,Fundació INFORM. Programa SEFED,0,0,42076.64
,,1500,46139,Diputació Barcelona.PAM 2016-2017,0,0,0
,,1600,46199,Diputació Barcelona. Subvencions,0,0,0
,,2000,39901,Despeses de publicitat: anuncis licitació-direcció economia,3000,0,2433.92
,,2000,42010,"Participació municiapl en tributs de l'Estat (Man.6,25% PTE)",3119000,0,0
,,2000,45000,Generalitat-Fons per al Foment del Turisme,6000,0,11295.9
,,2000,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,2000,45050,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,2947657.55,2002103.66
,,2000,45060,Altres trans.ctes.en compli.de conv.subscrit amb C.Autonoma,0,0,0
,,2000,46107,DIBA. Integració sociolaboral persones amb malalties mentals,0,0,0
,,2000,46114,Diputació de Barcelona Activitats educatives complementàries,62831.1,0,0
,,2000,46124,Diputació.Recull d'activitats suport activitat empresarial,0,432,0
,,2000,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,2000,46199,Diputació Barcelona. Subvencions,0,900112.93,-674.5
,,2000,46400,Subvencions Àrea Metropolitana de Barcelona,0,609116.67,90912.74
,,2000,48000,Fundació INFORM. Programa SEFED,0,185609.52,0
,,2000,49000,Subvenció del Fons Social Europeu,0,194769.93,0
,,2000,49100,Subvencions de l'exterior. Fons FEDER,0,11250,0
,,2000,49101,Subvencions de l'exterior. Fons FEDER EDUSI,0,12500,0
